name,year,coal,gas,oil,tradition,nuclear,clean,per
MT,2008,794.2,116.8,183.3,1094.3,0,"1,217.40",52.66
MT,2009,703.7,102.1,161.4,967.2,0,"1,081.00",52.78
MT,2010,797,90.7,146.9,1034.6,0,"1,148.20",52.60
MT,2011,746.7,77.8,140.1,964.6,0,"1,104.20",53.37
MT,2012,660.1,70.9,153.7,884.7,0,"1,008.80",53.28
MT,2013,753.2,68,169.9,991.1,0,"1,105.30",52.72
MT,2014,790.7,63.3,173.4,1027.4,0,"1,161.20",53.06
MT,2015,746.2,62,163.3,971.5,0,"1,087.00",52.81
NE,2006,0,1.2,13.4,14.6,93.9,211.6,66.10
NE,2007,0,1.6,13.5,15.1,115.8,260.7,66.57
NE,2008,0,3.1,13.9,17,99.1,292.8,71.61
NE,2009,0,2.9,13,15.9,98.7,293.3,71.90
NE,2010,0,2.2,13.5,15.7,115.5,399.8,75.29
NE,2011,0,2,14.8,16.8,72.5,390.8,81.40
NE,2012,0,1.4,17.5,18.9,60.8,357.3,81.76
NE,2013,0,1.1,16.3,17.4,71.7,370.5,80.61
NE,2014,0,0.4,17.7,18.1,105.7,412.1,76.90
NE,2015,0,0.5,16.6,17.1,108,435.9,77.70
NV,2006,0,2.5,0,2.5,0,40.8,94.23
NV,2007,0,2.4,0,2.4,0,40.1,94.35
NV,2008,0,2.5,0,2.5,0,40.4,94.17
NV,2009,0,2.5,0,2.5,0,49.2,95.16
NV,2010,0,2.5,0,2.5,0,50.8,95.31
NV,2011,0,2.4,0,2.4,0,52.3,95.61
NV,2012,0,2.1,0,2.1,0,58.6,96.54
NV,2013,0,1.9,0,1.9,0,68.4,97.30
NV,2014,0,1.8,0,1.8,0,69.3,97.47
NV,2015,0,1.6,0,1.6,0,76.6,97.95
NH,2006,0,0,0,0,98.1,131.2,57.22
NH,2007,0,0,0,0,112.9,147.7,56.68
NH,2008,0,0,0,0,97.7,137.6,58.48
NH,2009,0,0,0,0,92.2,137.6,59.88
NH,2010,0,0,0,0,114,156.8,57.90
NH,2011,0,0,0,0,87.5,131.8,60.10
NH,2012,0,0,0,0,85.8,129.4,60.13
NH,2013,0,0,0,0,114.2,166.2,59.27
NH,2014,0,0,0,0,106.4,161.1,60.22
NH,2015,0,0,0,0,99.2,152,60.51
NJ,2006,0,0,0,0,339.8,361.6,51.55
NJ,2007,0,0,0,0,335.8,356.1,51.47
NJ,2008,0,0,0,0,336.5,359.6,51.66
NJ,2009,0,0,0,0,359,392.8,52.25
NJ,2010,0,0,0,0,342.5,375.7,52.31
NJ,2011,0,0,0,0,351.7,387.7,52.43
NJ,2012,0,0,0,0,347,388.9,52.85
NJ,2013,0,0,0,0,348.8,397.2,53.24
NJ,2014,0,0,0,0,329.5,382.6,53.73
NJ,2015,0,0,0,0,347.9,398.2,53.37
NM,2006,485.1,"1,789.40",0,2274.5,344.8,"2,648.70",50.28
NM,2007,455.5,"1,699.30",0,2154.8,343.2,"2,530.80",50.33
NM,2008,475.8,"1,616.90",0,2092.7,348.9,"2,476.90",50.36
NM,2009,466.1,"1,557.70",0,2023.8,354.8,"2,409.60",50.32
NM,2010,381.4,"1,461.30",0,1842.7,379.8,"2,255.50",50.37
NM,2011,406,"1,405.20",0,1811.2,414.5,"2,261.70",50.40
NM,2012,409.1,"1,374.30",0,1783.4,496.2,"2,317.30",50.41
NM,2013,400.2,"1,338.70",0,1738.9,590.6,"2,369.20",50.42
NM,2014,400.2,"1,404.30",0,1804.5,718.2,"2,564.60",50.41
NM,2015,357.5,"1,444.50",0,1802,838.9,"2,676.80",50.34
NY,2006,0,57.2,1.8,59,440.6,878.2,63.74
NY,2007,0,56.2,2.2,58.4,445.3,867.4,63.26
NY,2008,0,51.4,2.2,53.6,451.6,904.4,64.16
NY,2009,0,45.8,1.9,47.7,454.8,872.4,63.45
NY,2010,0,36.6,2.2,38.8,437.6,835.8,63.69
NY,2011,0,31.9,2.2,34.1,446.8,877.9,64.61
NY,2012,0,27.2,2.1,29.3,427.3,816,64.12
NY,2013,0,24.2,1.8,26,467.7,870.1,63.80
NY,2014,0,20.8,2,22.8,450.1,869,64.76
NY,2015,0,18.4,1.6,20,466.5,870.7,64.15
NC,2006,0,0,0,0,417,553.6,57.04
NC,2007,0,0,0,0,420,532.7,55.91
NC,2008,0,0,0,0,415.7,558.4,57.32
NC,2009,0,0,0,0,427.2,575.7,57.40
NC,2010,0,0,0,0,425.8,575.6,57.48
